Line - Token - Classification
347 - BrokerServiceProvider - CLASS_NAME
347 - , - COMMA
348 - mediates - PROPRIETY
348 - min - QUANTIFIER
348 - 1 - NUMBER
348 - DataCustomer - CLASS_NAME
348 - , - COMMA
349 - mediates - PROPRIETY
349 - min - QUANTIFIER
349 - 1 - NUMBER
349 - Metadata - CLASS_NAME
352 - Class: - CLASS
352 - Offer - CLASS_NAME
355 - EquivalentTo: - EQUIVALENT
356 - Event - CLASS_NAME
357 - and - LOGICAL
357 - participatedIn - PROPRIETY
357 - only - ONLY
357 - ( - LPAR
357 - DataCustomer - CLASS_NAME
357 - or - LOGICAL
357 - DataSupplier - CLASS_NAME
357 - ) - RPAR
358 - and - LOGICAL
358 - wasCreatedIn - PROPRIETY
358 - only - ONLY
358 - EconomicOffering - CLASS_NAME
359 - and - LOGICAL
359 - participatedIn - PROPRIETY
359 - min - QUANTIFIER
359 - 1 - NUMBER
359 - DataCustomer - CLASS_NAME
360 - and - LOGICAL
360 - participatedIn - PROPRIETY
360 - min - QUANTIFIER
360 - 1 - NUMBER
360 - DataSupplier - CLASS_NAME
361 - and - LOGICAL
361 - wasCreatedIn - PROPRIETY
361 - exactly - QUANTIFIER
361 - 1 - NUMBER
361 - EconomicOffering - CLASS_NAME
364 - Class: - CLASS
364 - OfferedContribution - CLASS_NAME
367 - SubClassOf: - SUBCLASS
368 - Event - CLASS_NAME
368 - , - COMMA
369 - participatedIn - PROPRIETY
369 - only - ONLY
369 - DataSupplier - CLASS_NAME
369 - , - COMMA
370 - participatedIn - PROPRIETY
370 - min - QUANTIFIER
370 - 1 - NUMBER
370 - DataSupplier - CLASS_NAME
373 - Class: - CLASS
373 - OfferedContributionType - CLASS_NAME
376 - SubClassOf: - SUBCLASS
377 - ConcreteIndividualType - CLASS_NAME
377 - , - COMMA
378 - instantiate - PROPRIETY
378 - some - SOME
378 - OfferedContribution - CLASS_NAME
378 - , - COMMA
379 - instantiate - PROPRIETY
379 - only - ONLY
379 - OfferedContribution - CLASS_NAME
382 - Class: - CLASS
382 - OffereeUnconditionalAgreement - CLASS_NAME
385 - SubClassOf: - SUBCLASS
386 - IntrinsicMode - CLASS_NAME
386 - , - COMMA
387 - ( - LPAR
387 - externallyDependsOn - PROPRIETY
387 - only - ONLY
387 - CounterpartContributionType - CLASS_NAME
387 - ) - RPAR
387 - and - LOGICAL
387 - ( - LPAR
387 - historicallyDependsOn - PROPRIETY
387 - only - ONLY
387 - Counterpart - CLASS_NAME
387 - ) - RPAR
387 - and - LOGICAL
387 - ( - LPAR
387 - inheresIn - PROPRIETY
387 - only - ONLY
387 - DataCustomer - CLASS_NAME
387 - ) - RPAR
387 - , - COMMA
388 - externallyDependsOn - PROPRIETY
388 - some - SOME
388 - CounterpartContributionType - CLASS_NAME
388 - , - COMMA
389 - historicallyDependsOn - PROPRIETY
389 - min - QUANTIFIER
389 - 1 - NUMBER
389 - Counterpart - CLASS_NAME
389 - , - COMMA
390 - inheresIn - PROPRIETY
390 - exactly - QUANTIFIER
390 - 1 - NUMBER
390 - DataCustomer - CLASS_NAME
393 - Class: - CLASS
393 - OfferorUnconditionalAgreement - CLASS_NAME
396 - SubClassOf: - SUBCLASS
397 - IntrinsicMode - CLASS_NAME
397 - , - COMMA
398 - ( - LPAR
398 - externallyDependsOn - PROPRIETY
398 - only - ONLY
398 - OfferedContributionType - CLASS_NAME
398 - ) - RPAR
398 - and - LOGICAL
398 - ( - LPAR
398 - historicallyDependsOn - PROPRIETY
398 - only - ONLY
398 - DigitalAsset - CLASS_NAME
398 - ) - RPAR
398 - and - LOGICAL
398 - ( - LPAR
398 - inheresIn - PROPRIETY
398 - only - ONLY
398 - DataSupplier - CLASS_NAME
398 - ) - RPAR
398 - , - COMMA
399 - externallyDependsOn - PROPRIETY
399 - some - SOME
399 - OfferedContributionType - CLASS_NAME
399 - , - COMMA
400 - historicallyDependsOn - PROPRIETY
400 - min - QUANTIFIER
400 - 1 - NUMBER
400 - DigitalAsset - CLASS_NAME
400 - , - COMMA
401 - inheresIn - PROPRIETY
401 - exactly - QUANTIFIER
401 - 1 - NUMBER
401 - DataSupplier - CLASS_NAME
404 - Class: - CLASS
404 - Ownership - CLASS_NAME
407 - SubClassOf: - SUBCLASS
408 - Relator - CLASS_NAME
408 - , - COMMA
409 - mediates - PROPRIETY
409 - some - SOME
409 - Data - CLASS_NAME
409 - , - COMMA
410 - mediates - PROPRIETY
410 - min - QUANTIFIER
410 - 1 - NUMBER
410 - DataSupplier - CLASS_NAME
413 - Class: - CLASS
413 - Resource - CLASS_NAME
416 - SubClassOf: - SUBCLASS
417 - FunctionalComplex - CLASS_NAME
417 - , - COMMA
418 - participatedIn - PROPRIETY
418 - some - SOME
418 - DataExchange - CLASS_NAME
